"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags"
"SpaMTPdb_chem_props_3.0.7","Pruned RaMP chemical properties used by the SpaMTP indexed MS1 annotation engine.","3.24",,"SQLite","https://github.com/ncats/RaMP-DB","3.0.7",,,,"NCATS RaMP-DB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/chem_props.rds","SpaMTPdb:RaMP:Metabolomics:MassSpectrometry"
"SpaMTPdb_source_df_3.0.7","RaMP stable source-identifier mappings, names, provenance and pathway counts.","3.24",,"SQLite","https://github.com/ncats/RaMP-DB","3.0.7",,,,"NCATS RaMP-DB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/source_df.rds","SpaMTPdb:RaMP:Identifiers"
"SpaMTPdb_analyte_3.0.7","Pruned RaMP analyte identifiers and analyte types.","3.24",,"SQLite","https://github.com/ncats/RaMP-DB","3.0.7",,,,"NCATS RaMP-DB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/analyte.rds","SpaMTPdb:RaMP:Identifiers"
"SpaMTPdb_analytehaspathway_3.0.7","RaMP analyte-to-pathway relationships used by SpaMTP enrichment analyses.","3.24",,"SQLite","https://github.com/ncats/RaMP-DB","3.0.7",,,,"NCATS RaMP-DB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/analytehaspathway.rds","SpaMTPdb:RaMP:Pathways"
"SpaMTPdb_pathway_3.0.7","RaMP pathway identifiers, sources, types, categories and names.","3.24",,"SQLite","https://github.com/ncats/RaMP-DB","3.0.7",,,,"NCATS RaMP-DB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/pathway.rds","SpaMTPdb:RaMP:Pathways"
"SpaMTPdb_ramp_db_metadata_3.0.7","Version, provenance, pruning and graph-harmonisation metadata for the SpaMTP RaMP snapshot.","3.24",,"SQLite","https://github.com/ncats/RaMP-DB","3.0.7",,,,"NCATS RaMP-DB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","list","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/ramp_db_metadata.rds","SpaMTPdb:RaMP:Provenance"
"SpaMTPdb_ramp_hmdb_3.0.7","HMDB pathway topology harmonised to RaMP 3.0.7 compound identifiers.","3.24",,"SQLite","https://github.com/ncats/RaMP-DB","3.0.7",,,,"NCATS RaMP-DB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","list","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/ramp_hmdb.rds","SpaMTPdb:RaMP:HMDB:Pathways"
"SpaMTPdb_ramp_kegg_3.0.7","KEGG pathway topology harmonised to RaMP 3.0.7 compound identifiers.","3.24",,"SQLite","https://github.com/ncats/RaMP-DB","3.0.7",,,,"NCATS RaMP-DB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","list","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/ramp_kegg.rds","SpaMTPdb:RaMP:KEGG:Pathways"
"SpaMTPdb_ramp_reactome_3.0.7","Reactome pathway topology harmonised to RaMP 3.0.7 compound identifiers.","3.24",,"SQLite","https://github.com/ncats/RaMP-DB","3.0.7",,,,"NCATS RaMP-DB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","list","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/ramp_reactome.rds","SpaMTPdb:RaMP:Reactome:Pathways"
"SpaMTPdb_ramp_wikipathway_3.0.7","WikiPathways topology harmonised to RaMP 3.0.7 compound identifiers.","3.24",,"SQLite","https://github.com/ncats/RaMP-DB","3.0.7",,,,"NCATS RaMP-DB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","list","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/ramp_wikipathway.rds","SpaMTPdb:RaMP:WikiPathways:Pathways"
"SpaMTPdb_hmdb_db_3.0.7","Legacy SpaMTP cleaned HMDB metabolite reference table.","3.24",,"CSV","https://hmdb.ca/","5.0",,,,"HMDB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/hmdb_db.rds","SpaMTPdb:HMDB:Legacy"
"SpaMTPdb_chebi_db_3.0.7","Legacy SpaMTP cleaned ChEBI metabolite reference table.","3.24",,"CSV","https://www.ebi.ac.uk/chebi/","236",,,,"ChEBI and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/chebi_db.rds","SpaMTPdb:ChEBI:Legacy"
"SpaMTPdb_lipidmaps_db_3.0.7","Legacy SpaMTP cleaned LIPID MAPS metabolite reference table.","3.24",,"CSV","https://www.lipidmaps.org/","2024-08-19",,,,"LIPID MAPS and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/lipidmaps_db.rds","SpaMTPdb:LIPIDMAPS:Legacy"
"SpaMTPdb_gnps_db_3.0.7","Legacy SpaMTP cleaned GNPS metabolite reference table.","3.24",,"CSV","https://gnps.ucsd.edu/","SpaMTP snapshot",,,,"GNPS and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/gnps_db.rds","SpaMTPdb:GNPS:Legacy"
"SpaMTPdb_filtered_fmp10_3.0.7","Curated FMP10 matrix-associated metabolite mappings retained for legacy workflows.","3.24",,"CSV","https://github.com/GenomicsMachineLearning/SpaMTP","SpaMTP 1.1",,,,"SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/filtered_fmp10.rds","SpaMTPdb:FMP10:MALDI:Legacy"
"SpaMTPdb_smiles_features_3.0.7","Precomputed functional groups, proposed ionisation sites, and positive-, negative-, neutral-, and alkali-adduct priors derived from unique RaMP SMILES.","3.24",,"SQLite","https://github.com/ncats/RaMP-DB","3.0.7",,,,"NCATS RaMP-DB and SpaMTP","Tianyao Lu <lu.t@wehi.edu.au>","data.frame","Rds","s3://annotationhub/","SpaMTPdb/3.0.7/smiles_features.rds","SpaMTPdb:RaMP:SMILES:Metabolomics:MassSpectrometry"
