"resource","version","category","default","title","file_name","location_prefix","rdata_path","source_url","source_file","source_object","r_data_class","dispatch_class","rows","columns","bytes","object_bytes","md5"
"chem_props","3.0.7","core",TRUE,"SpaMTPdb_chem_props_3.0.7","chem_props.rds","https://zenodo.org/api/records/22045311/files/","chem_props.rds/content","https://zenodo.org/records/22045311","chem_props.rda","chem_props","data.frame","Rds",289754,11,12925616,275966848,"42865f00ea7445f72bcd2f66b2b315a9"
"source_df","3.0.7","core",TRUE,"SpaMTPdb_source_df_3.0.7","source_df.rds","https://zenodo.org/api/records/22045311/files/","source_df.rds/content","https://zenodo.org/records/22045311","source_df.rda","source_df","data.frame","Rds",1051927,8,9200960,209960984,"5cc8fc44c759ba103f39c0f53b9dc438"
"analyte","3.0.7","core",TRUE,"SpaMTPdb_analyte_3.0.7","analyte.rds","https://zenodo.org/api/records/22045311/files/","analyte.rds/content","https://zenodo.org/records/22045311","analyte.rda","analyte","data.frame","Rds",463257,2,1205108,44473640,"e694b953ad4b61276132273a7eb4f26b"
"analytehaspathway","3.0.7","core",TRUE,"SpaMTPdb_analytehaspathway_3.0.7","analytehaspathway.rds","https://zenodo.org/api/records/22045311/files/","analytehaspathway.rds/content","https://zenodo.org/records/22045311","analytehaspathway.rda","analytehaspathway","data.frame","Rds",1355476,3,1614224,48585752,"2225c0f057cbd716f184d337627f672d"
"pathway","3.0.7","core",TRUE,"SpaMTPdb_pathway_3.0.7","pathway.rds","https://zenodo.org/api/records/22045311/files/","pathway.rds/content","https://zenodo.org/records/22045311","pathway.rda","pathway","data.frame","Rds",122936,5,1933008,39639400,"054f527072d3d29d4ff56c5b5e27ede5"
"ramp_db_metadata","3.0.7","core",TRUE,"SpaMTPdb_ramp_db_metadata_3.0.7","ramp_db_metadata.rds","https://zenodo.org/api/records/22045311/files/","ramp_db_metadata.rds/content","https://zenodo.org/records/22045311","ramp_db_metadata.rda","ramp_db_metadata","list","Rds",9,,1348,12448,"98e12612f051f8f48388371b2070d851"
"ramp_hmdb","3.0.7","topology",TRUE,"SpaMTPdb_ramp_hmdb_3.0.7","ramp_hmdb.rds","https://zenodo.org/api/records/22045311/files/","ramp_hmdb.rds/content","https://zenodo.org/records/22045311","RAMP_hmdb.rda","RAMP_hmdb","list","Rds",48671,,1207536,679170856,"1fd1e7814bd6fd3a8815445a1d60143c"
"ramp_kegg","3.0.7","topology",TRUE,"SpaMTPdb_ramp_kegg_3.0.7","ramp_kegg.rds","https://zenodo.org/api/records/22045311/files/","ramp_kegg.rds/content","https://zenodo.org/records/22045311","RAMP_kegg.rda","RAMP_kegg","list","Rds",325,,242076,12760456,"c400509696d779a962cd0b4360620900"
"ramp_reactome","3.0.7","topology",TRUE,"SpaMTPdb_ramp_reactome_3.0.7","ramp_reactome.rds","https://zenodo.org/api/records/22045311/files/","ramp_reactome.rds/content","https://zenodo.org/records/22045311","RAMP_Reactome.rda","RAMP_Reactome","list","Rds",2460,,1826696,109390336,"a5d64439c1f6b8717fb517fbb1bc70b4"
"ramp_wikipathway","3.0.7","topology",TRUE,"SpaMTPdb_ramp_wikipathway_3.0.7","ramp_wikipathway.rds","https://zenodo.org/api/records/22045311/files/","ramp_wikipathway.rds/content","https://zenodo.org/records/22045311","RAMP_wikipathway.rda","RAMP_wikipathway","list","Rds",685,,198088,11538104,"8c6cc59150f60d999f3ab13f97f42904"
"hmdb_db","3.0.7","legacy",FALSE,"SpaMTPdb_hmdb_db_3.0.7","hmdb_db.rds","https://zenodo.org/api/records/22045311/files/","hmdb_db.rds/content","https://zenodo.org/records/22045311","HMDB_db.rda","HMDB_db","data.frame","Rds",26538,37,7120008,30079480,"33a3340519c217543ec87e94bc31be91"
"chebi_db","3.0.7","legacy",FALSE,"SpaMTPdb_chebi_db_3.0.7","chebi_db.rds","https://zenodo.org/api/records/22045311/files/","chebi_db.rds/content","https://zenodo.org/records/22045311","Chebi_db.rda","Chebi_db","data.frame","Rds",46297,37,7846184,41584616,"126bba31fad002fe8bc243db26e0e9a8"
"lipidmaps_db","3.0.7","legacy",FALSE,"SpaMTPdb_lipidmaps_db_3.0.7","lipidmaps_db.rds","https://zenodo.org/api/records/22045311/files/","lipidmaps_db.rds/content","https://zenodo.org/records/22045311","Lipidmaps_db.rda","Lipidmaps_db","data.frame","Rds",9493,37,1971128,8880512,"9be73b858dc1b4332f8bbf84f8e14460"
"gnps_db","3.0.7","legacy",FALSE,"SpaMTPdb_gnps_db_3.0.7","gnps_db.rds","https://zenodo.org/api/records/22045311/files/","gnps_db.rds/content","https://zenodo.org/records/22045311","GNPS_db.rda","GNPS_db","data.frame","Rds",489,37,74628,243360,"558a90f94380801038ee9a40dec8d37f"
"filtered_fmp10","3.0.7","legacy",FALSE,"SpaMTPdb_filtered_fmp10_3.0.7","filtered_fmp10.rds","https://zenodo.org/api/records/22045311/files/","filtered_fmp10.rds/content","https://zenodo.org/records/22045311","filtered_fmp10.rda","filtered_fmp10","data.frame","Rds",4166,9,54756,1367488,"a7ca0cd5a5b507f09fcd2eca8ffb856a"
"smiles_features","3.0.7","structure",FALSE,"SpaMTPdb_smiles_features_3.0.7","smiles_features.rds","https://zenodo.org/api/records/22045311/files/","smiles_features.rds/content","https://zenodo.org/records/22045311",,"smiles_features","data.frame","Rds",284818,36,4252016,161790376,"f492e18843643ef17b037b91f7988ecb"
